"id","cnpj","natureza_juridica","razao_social","data_inicio_atividades","data_situacao_cadastral","data_situacao_especial","motivo_situacao_cadastral","situacao_cadastral","situacao_especial","nome_fantasia"
1396,"08061295000380","1210",CONSORCIO METROPOLITANO DE SERVICOS DO PARANA COMESP,"20191118","20191118","","00","02","",CONSORCIO METROPOLITANO DE SAUDE DO PARANA - COMESP
1444,"37828564000127","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DA REGIAO SERTAO DE CRATEUS 2,"20190624","20221208","","00","02","",""
1241,"45129177000120","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DOS MUNICIPIOS DA AMNAP - CIM AMNAP,"20211220","20211220","","00","02","",CIM - AMNAP
1615,"47203050000130","1210",CONSORCIO SUL FRONTEIRA,"20220422","20220422","","00","02","",CONSORCIO SUL FRONTEIRA
1276,"54129572000102","1210",CONSORCIO INTERMUNICIPAL PARA ATERRO SANITARIO,"19860221","20061202","","00","02","",CIPAS
1117,"15325165000100","1210",CONSORCIO INTERMUNICIPAL DO ALTO E MEDIO CARANGOLA PARA GESTAO E MANEJO DOS RESIDUOS SOLIDOS,"20111128","20111128","","00","02","",""
1171,"11110361000107","1210",CONSORCIO INTERMUNICIPAL DOM MARIANO,"20090812","20090812","","00","02","",CONDOMAR
1224,"15605955000140","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA REGIAO SERIDO RN,"20120316","20120316","","00","02","",CIM SERIDO
1405,"10798430000154","1210",CONSORCIO MUNICIPAL PARA ATERRO DE RESIDUOS SOLIDOS - UNIDADE CRATO - COMARES-UC,"20090324","20190131","","00","02","",""
1429,"30681474000107","1228",CONSORCIO PUBLICO DE DESENVOLVIMENTO SUSTENTAVEL DO TERRITORIO DOS MUNICIPIOS DO SEMIARIDO - BAHIA - CDS DO SEMIARIDO,"20180412","20180412","","00","02","",CDS DO SEMIARIDO BAHIA
1282,"32137466000120","1210",CONSORCIO INTERMUNICIPAL PARA CUIDADOS DE CRIANCA E ADOLESCENTES EM RISCO FAMILIAR E SOCIAL,"20181016","20181016","","00","02","",""
1439,"32456383000101","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DA REGIAO DO LITORAL NORTE,"20181214","20181214","","00","02","",""
1435,"35264181000148","1210",CONSORCIO PUBLICO DE MANEJO DE RESIDUOS SOLIDOS DA REGIAO CARIRI OESTE,"20190704","20190704","","00","02","",CONSORCIO PUB.DE MAN. DOS RESID. DA REGIAO CARIRI OESTE
1300,"35413198000110","1210",CONSORCIO INTERMUNICIPAL PARA GESTAO INTEGRADA DE RESIDUOS SOLIDOS - CONCISSS,"20171207","20211006","","00","02","",CONCISSS
1147,"35722683000175","1228",CONSORCIO INTERMUNICIPAL DO SERVICO SOCIOASSISTENCIAL DE ALTA COMPLEXIDADE - MODALIDADE ABRIGO INSTITUCIONAL,"20190906","20190906","","00","02","",ABRIGO AQUI SOU FELIZ
1100,"39683725000167","1210",CONSORCIO INTERMUNICIPAL DE SERVICOS SOCIASSISTENCIAL DO ALTO ACRE - CISAC,"20200812","20220621","","00","02","",CISAC
1485,"35749648000140","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE COSTA DO DESCOBRIMENTO.,"20191022","20191022","","00","02","",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA REGIAO DE
1441,"44894047000111","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DA REGIAO SERTAO CENTRAL 2 CONSERCE 2,"20210601","20241015","","00","02","",""
1414,"45082421000147","1210",CONSORCIO PUBLICO AGENCIA AMBIENTAL DO VALE DO PARAIBA,"20211213","20211213","","00","02","",""
1566,"11248927000161","1210",CONSORCIO PUBLICO INTERMUNICIPAL P O DES. SUST. DA REG. FRON. DO SUD. DO PARANA - CIFRA,"20091021","20091021","","00","02","",CIFRA
1299,"11316986000120","1210",CONSORCIO INTERMUNICIPAL PARA GESTAO DOS RESIDUOS SOLIDOS URBANOS - CONCASS,"20091014","20091014","","00","02","",CONCASS
1509,"11759979000100","1210",CONSORCIO PUBLICO INTERMUNICIPAL CASA LAR,"20100308","20100308","","00","02","",CASA LAR
1471,"12116566000162","1210",CONSORCIO PUBLICO DE SAUDE DA MICRORREGIAO DE TAUA - CPSMT,"20100503","20100503","","00","02","",CPSMT
1514,"19207127000104","1210",CONSORCIO PUBLICO INTERMUNICIPAL DE DESENVOLVIMENTO  REGIONAL DE PERNAMBUCO - CONIDER,"20131011","20200108","","00","02","",CONIDER
1114,"19904298000192","1210",CONSORCIO INTERMUNICIPAL DO AGRESTE ALAGOANO - CONAGRESTE,"20140117","20140117","","00","02","",CONAGRESTE
1233,"21345989000145","1210",CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DO MEDIO ESPINHACO - CIMME,"20141024","20190327","","00","02","",CONSORCIO INTERM MULTIFINALITARIO DO M ESPINHACO -CIMME
1528,"26469179000114","1210",CONSORCIO PUBLICO INTERMUNICIPAL DE GESTAO DOS REGIMES PROPRIOS DE PREVIDENCIA SOCIAL DOS MUNICIPIOS MATO-GROSSENSES - CONSPREV,"20161014","20190708","","00","02","",CONSPREV
1581,"29549541000155","1210",CONSORCIO PUBLICO PARA A GESTAO INTEGRADA DE CASA DE ACOLHIMENTO INSTITUCIONAL,"20180112","20210316","","00","02","",CONSORCIO PUBLICO PARA A GESTAO INTEGRADA DE CASA DE AC
1494,"32237122000192","1210",CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA REGIAO DE ITABUNA - CISCAU,"20181101","20181101","","00","02","",CISCAU
1252,"01999898000205","1210",CONSORCIO INTERMUNICIPAL MULTISSETORIAL DO ENTORNO DO CAPARAO - CIS CAPARAO,"20191106","20191106","","00","02","",CENTRO - CIS
1445,"44678797000156","1210",CONSORCIO PUBLICO DE MANEJO DOS RESIDUOS SOLIDOS DA SERRA DA IBIAPABA,"20200624","20200624","","00","02","",CPMRS-RI
